min seqc samples	junctions	magic junctions	rmake junctions	subread junctions	exactly one of {magic, rmake, subread} junctions	exactly two of {magic, rmake, subread} junctions	all three of {magic, rmake, subread} junctions
1273	124465	120449	124035	122916	254	4746	119218
1272	124595	120574	124163	123043	255	4751	119341
1271	124703	120678	124270	123149	255	4755	119444
1270	124805	120775	124372	123248	255	4763	119538
1269	124922	120890	124488	123364	255	4764	119653
1268	125036	121000	124600	123476	256	4767	119762
1267	125142	121099	124704	123579	256	4773	119860
1266	125255	121209	124817	123691	256	4777	119969
1265	125366	121317	124928	123801	256	4781	120076
1264	125462	121412	125024	123897	256	4782	120171
1263	125560	121508	125121	123994	257	4784	120266
1262	125670	121617	125230	124100	258	4788	120371
1261	125765	121710	125324	124193	259	4791	120462
1260	125860	121804	125417	124286	260	4791	120555
1259	125959	121899	125515	124383	260	4795	120649
1258	126067	121996	125622	124486	262	4805	120744
1257	126177	122102	125732	124596	262	4809	120850
1256	126283	122206	125837	124700	262	4811	120953
1255	126373	122292	125927	124789	262	4816	121038
1254	126486	122400	126039	124901	262	4820	121146
1253	126577	122486	126130	124991	262	4826	121231
1252	126694	122596	126246	125106	262	4833	121340
1251	126762	122658	126311	125171	263	4837	121401
1250	126848	122738	126396	125257	263	4844	121480
1249	126952	122838	126500	125360	263	4849	121579
1248	127041	122924	126589	125444	265	4853	121662
1247	127118	122996	126666	125520	265	4859	121733
1246	127207	123081	126754	125607	265	4863	121817
1245	127306	123178	126853	125706	265	4865	121914
1244	127407	123272	126952	125804	265	4871	122007
1243	127502	123365	127046	125897	265	4873	122099
1242	127595	123457	127139	125989	265	4875	122190
1241	127678	123535	127222	126071	265	4881	122267
1240	127763	123617	127307	126155	266	4883	122349
1239	127859	123704	127402	126249	267	4893	122434
1238	127957	123795	127500	126345	267	4902	122523
1237	128062	123893	127603	126448	267	4910	122619
1236	128164	123989	127705	126548	267	4918	122713
1235	128256	124075	127795	126638	267	4922	122799
1234	128363	124178	127902	126743	267	4928	122900
1233	128467	124276	128006	126846	267	4935	122997
1232	128562	124366	128098	126938	268	4938	123086
